index	sentence1	sentence2	label
3015	能谈到多少	我知道您关注很久了	0
4902	三楼的可以看吗	这两套是南向的	0
2605	你帮我问问吧，58万那个53万卖不卖	嗯嗯，要得	0
1182	有高税吗	嗯	0
5774	这个房子装修怎么样？	这套12楼	0
3840	您好，请问随时可以带看吗	你好	0
5436	你实体看过觉得怎么样？	这两种户型都是94的	0
82	中学呢	十五中	1
2261	那个6楼有降价的可能了吗	能降价啊	1
4585	我想了解一下房子	这边有钥匙，看房方便	0
1112	什么时候能够看房呢？	您好，您发的房子还在的，链家所有房源均为真实在售房源，想看看吗？我可以帮您约业主时间。	0
3140	周围配套怎么样	楼盘周边的商业较为缺乏，1.5公里之内没有成型的商业配套。在1.8公里左右有新汇城及九龙购物中心、2公里有家家欣商场。	1
4534	您好，请问这个房子周边有哪些学校	对的	0
1331	这个学校招生是大学区制吗？	划片区的，以留仙大道为分界线 以北的上丽湖实验中学	0
1835	可以早点不	没有钥匙，我得提前联系	0
906	什么时候能看	您看您时间吧	1
1440	您好，我想咨询红墙国际小区	你看这个回答满意吗？	0
2271	这个有房本吗	咱这边是不是首套，是看在北京有没有房产。	0
1765	尽量多看几套	您放心，我这边会多给您准备几套的	0
3337	好久满两年	业主可以等满两年?	0
5717	可以明天帮我问一下么？	好的👌	0
1081	请问这套房有增值税吗	您看看这个套三怎么样呢	0
325	是一期还是二期	可以谈呀	0
3675	满几年？	最近有时间吗，我可以带您看看去	0
1005	现在能看房吗，疫情稳定吗	可以看了	1
2407	明天能看吗？	这个不错的	0
1871	这个怎么样	来看看	0
4234	北区的房子是不是时间久了	我是这个房子的维护人，我可带您看看，，2009年—2011年	1
4104	那只要交契税吗？	您要觉得可以，我这边可以帮您约下，您过来看下房子	0
698	什么学校	对的	0
5665	您好，我正在看都市阳光名苑的房子	有的.现在有套72平的2房.业主报价725万	0
975	临街吗	不好意思	0
5885	请问是清水还是装修的呢	要不要给你找找其他的	0
132	初中呢	亲，我加您微信吧，给您发一下位置😊	0
3165	能看吗？	没打通电话，刚准备给您电话汇报呢，没人接，您手机号码输错了吧？	0
5878	你是第一房屋的吗	对的  第一房屋NAME	0
1333	周边设施咋样	交通便利，环境好	1
3344	具体在哪	您看我给您发的位置	0
5640	有对口初中吗	目前是划片	1
4404	想看看	你今天几点下班	0
4998	几期	我发给您的是信义嘉御山小一期  13年年底开发商精装修交房 	0
4769	要求首付多少	至少三成	1
2368	中午左右。看看采光咋样	嗯嗯 是啊	0
5726	联系九楼我也去看一下可以吗？	9楼的我给您问问	0
4090	什么时候能够看房呢？	您想看哪个小区的房子	0
5267	您好，请问这个房子周边有哪些学校？	在的	0
444	这个房子是带全屋家电吗？	您咨询的房子还在的	0
3226	下午能看房吗？	张姐	0
1372	到时候看看	185左右	0
4515	多少钱能卖啊	您有空可以过来看看房子	0
5854	什么时候能够看房呢？	您好	0
3203	是楼头吗？	1号楼	0
1198	帮忙多看几套吧	您啥时候看	0
2713	小学怎么不是人民小学	恒大也近呀	0
11	这套房源价格还有优惠空间吗？	具体要看您付款方式	1
4342	这个是边间吗	中间的，户型还可以，门口没有墙壁挡的	0
223	您好，我正在看北纬40度二期的房子	朝西的目前有套495万能卖的6-806一直没成交呢，	0
528	价格能下多少	这套朝南的没空间了	1
2702	毛坯？	没啥区别，都是70年的大产权，只不过房屋性质不一样，但是一般可以上市交易的房屋，交易过之后房屋的性质就都是商品房了	0
5275	现在可以看不	好的	0
5849	可以看房？	165万那套  业主说  一口价的哦	0
5368	这个房子的房产证拿到了吗？	这套房子的小区位置非常好 不靠马路	0
1185	这套房子有还价的余地吗	这个房子位置好，价格的话，需要见面谈。	1
2604	有阳光吗？	二层的一居室有遮挡，几乎没有阳光	1
2076	您好，请问这个户型有啥优缺点	房子有钥匙，业主置换着急出售看房方便，房子是满五年不唯一的.	0
315	您好，请问这个户型有啥优缺点	把东边单元，客厅特别宽敞、明亮，四居室，居住起来比较舒适，您的购房预期是在1100--1200万之间是吗？	1
2464	你好，有房产证吗	我电话了解  	0
1235	能谈到705	区别挺大的	0
972	临街吗	新城这个临街	1
2264	明天可以看吗	可以约一下，看不全了，也看不出户型了	1
762	其他费用还有哪些？还有议价空间吗？	可以的	1
2111	现在能看这套房子吗	留个电话	0
4110	现在那个组团有证了呢？	你有客户要找？	0
529	采光受影响吗？	地铁没有	0
267	我想了解一下读龙舟路小学的学区房	?多大的，我有客户	0
98	您好，请问这个房子周边有哪些学校？	国际学校	1
3073	最低价多少	您好	0
5817	带家具吗	毛坯考虑不？预算多少？我这边好给你推荐	0
4558	证下来没有	怎么称呼您呢	0
5426	是要交一个税是吗	赠予的话，需要交3个点的契税	1
4807	大概业主多少空间	找到适合您的房子	0
3391	没大红本？	大红本还没拿到手了	1
3478	我想看看房子	您好姐，	0
4562	77万一次性付清？	是的，现在这套房子主要是因为它直接对口华一初，而且总价是附近底价了	0
441	贷款最多能贷多少年	您是考虑锡东这边学区房吗	0
3644	这套是房东自己装修的吗	今天我同事带你看的御亭山，这个没看吗？	0
5680	我想看看房	我先给你发几套比较优质的 您看一下	0
3202	您好，我正在看太湖锦园的房子	好	0
5604	有增值税吗？	这个卫生间没有动过，两面墙阔一下	0
2675	您好，请问这个房子周边有哪些学校	这个楼盘读外国语集美分校	1
3908	90万可以谈吗	可以先来看房子	1
766	最低价位是多少，带家电家具?	如果看好可以谈价	0
4307	最近有好的房子吗？带我看看	可以为你推荐一下	0
992	方便去看看吗	118 的可以看呢	1
2381	附近有公园吗	步行万景园10分钟左右，目前汉中门大街往扬子江大道在住人行过街通道	1
5619	这个房子能不能看房	房子可以看	1
1394	首付六月底吧	哦哦	0
2976	周边教育配套怎么样	市场价的话550万到580万	0
418	有些还可以签个合同，等证满在过户给是	到时候有好房通知你	0
189	离地铁口近点的，然后附近有公园，学校的，小区相对而言年限近点的	38中本部	0
98	您好，请问这个房子周边有哪些学校？	旁边有呼家楼中心团结湖分校的低年级部	0
1071	这个房子是几期啊？是不是一期？	房子阳台是看小区内的	0
1804	房子在哪	好	0
4012	方便看么	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
2616	附近有什么其他的单间配套推荐吗？	这种一改二的户型也不错，投资的话出租还是不错的	0
1144	家电没有什么	链家还有12发安心承诺，出了问题，链家包赔的	0
1092	您好，请问这个房子周边有哪些学校	性价比非常高喔	0
4146	有没有税	满五年不唯一公房	0
3075	请问有证吗	带楼台空间	0
2126	我在小区附近，有没有能看的？	可以	0
4432	这个房子有贷款吗？	目前租出去价格1400	0
2512	你们几点上班？想早点看	那咱八点二十三期门口见	0
4550	此房价带家具吗？	过户费的话就是正常税费哟。在1万带点，	0
5386	有装修吗	没有	0
5738	您好，请问这个房子周边有哪些学校？	此房是约克郡北区小高层	0
1339	有可能低于2000吗？	低不了	1
4936	明天我准备去看看	您什么时候过来	1
1387	楼前面有没有高楼挡着呀	没有高楼挡着	1
4463	这个房子可以看吗	今天暂时看不了，业主出去玩了，价格是780万	1
2428	这个是几期的	可以先看看房子的，看了保证您会喜欢的	0
3941	哪个学区	这个3楼的	0
5951	最后这套是哪里啊？	车位是没有的	0
4405	什么时候能够看房呢？	在忙吗？	0
715	有时间看看	有	0
5646	三居室能看几个	好的	0
927	您看今天什么时候去看房合适	您好	0
2723	读什么学校	这个是读迎春小学	1
5895	增值税能掏多少	房子走这边就可以了	0
2169	您好，请问这个房子周边有哪些学校？	因为买公积金，一般来说公司帮您买，自己出少少	0
4021	您好，我想咨询#招南小区#小区	招南没有小区	0
1248	加完实际要是买这套房的话要多少钱，家具家电送不送？	业主配合解约	0
863	帮忙谈谈这个房子	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
2141	初中	可以落户	0
5791	请问首付和贷款是多少？	首套房最低首付三层，首付部分要70万，后期的税费和中介费一起还要20多万	1
2200	哪里啊	哪个？	0
218	您好，我想咨询金桥商务公寓小区	您留个联系方式，我明天按排专业租赁经纪人给您	0
286	这套房源价格还有优惠空间吗？	您好 五一假期 您过来看看房子吗？	0
4224	这个是房贷吗	位置也好 出门就是地铁口	0
3805	能看看吗	稍等一下	0
1064	房东低价你知道哇	哪几套	0
4379	户型我看不怎么样	新房您考虑吗	0
5411	就晚上有时间了解房子	你现在可以去问 开发商绝对给你说 房子没有了	0
1280	房子方便看吗	好的，没问题	0
378	这个是不是一期的	现在没住人	0
5556	家居家电全送嘛	全送	0
1010	什么时候能够看房呢？	你好	0
1234	想看一下房	花样年江山	0
1409	您好，请问这个房子周边有哪些学校	对应南开中片	1
4599	这套房源价格还有优惠空间吗？	贝壳德佑小翟很高兴为您服务，请问有什么可以帮到您的	0
1670	没窗户，怎么采光？	确实采不到光	1
3936	这套房子基本情况有吗	单捆，捆绑车位8万，原价来原价走	0
725	152那个可以看看	我问哈，	0
3884	这就装修完了？	装完修了，价格就上来了	0
974	保养咋样？	业主自住的	1
2236	几区？	你看过那边的房吗	0
3676	这个可以看吗？	可以，	1
3152	什么时候满两年啊	好的呀，有什么问题可以随时联系我，我对商业类很熟悉。	0
4316	现在看房能看吗？	好的，您稍等	0
4858	我这个周末有时间，可以带我去看看吗	你好	0
2976	周边教育配套怎么样	我把我们内网数据库翻了一遍，也没找到这种户型	0
5711	家具呢	价格方面我跟业主谈过，业主说都不知道是那个客户了，以为我们是没有客户压他价格 ??	0
5259	先帮我问问底价吧	您可以先看一下房子，您觉得可以了出个价格我帮您和房主谈	1
1053	19楼税费多少钱？	这个房子是新上的，目前报价162万，这个价位也符合市场价。	0
4061	这套房源价格还有优惠空间么？	你好	0
5876	可以看房不	可以的	1
242	物业配套咋样，安静不？	方便的话可以加你微信，我等会去拍视频给你	0
2008	周边配套怎么样？	因为是镇上，所以配套很全的	1
3405	是否含税？	额	0
1273	有产权证吗	房主没办	1
4910	您好，请问这个房子周边有哪些学校？	价格带个车位	0
1096	能贷款吗？	可以贷款	1
5799	税费多少？	契税1.5加个税3个点	1
5707	可以看吗	提前预约的	1
2692	具体情况呢？	有地下室中间楼层	0
1875	可以看房嘛	要的	0
867	有大税吗	今天天气不错，您要来看看房子吗？	0
4924	这个房子能看吗	现在可以带您看看VR	1
5957	有边户型吗	您看看这两套	0
957	没下房本呢是吧	可以商量	0
4453	做低后的税费？	现在有套小房子在卖的！55个平方2楼的！基本上只要价格下来都好卖的	0
5088	我可以过去看看嘛	您多长时间到	0
938	南里能340左右？	都得看后跟业主谈	0
5301	毛坯是吧	您想明天什么时候看呢	0
1869	家具都带吗？	这样吧。我现在给您问一下。	0
497	这个也谈过价格么	满五唯一哦	0
2972	您好，我想咨询香山新村西北街坊小区	这套您看看	0
4589	五一可以看房吗	可以的	1
4880	那个采光临街都有问题	我看看	0
4858	我这个周末有时间，可以带我去看看吗	好的	1
416	最低多少钱	这套房子在14楼	0
3185	1900现状？	他没得谈的，他我跟他谈了半天，他就说嗯，少200块钱，首月少200块钱	0
4909	莱茵翠景有毛坯吗0	有的	1
2705	房子是加家具家电一起的吗	走路三十多分钟，后面有公交车	0
3708	含税吗	个税1个点和契税1.5	0
74	这个约看	钥匙在我们店	0
5987	我看像没住过人呢。感觉都没怎么装修呢	对这个是半毛坯的，之前出租过。	1
4757	这个是几期的呐	没有哦，这个户型只有一期才有	0
3723	什么时候能够看房呢？	需要提前预约	1
3499	现在可以看吗	您等一下  我们微信沟通吧	0
4221	能挡阳光吗	这些是二手房的正常费用么?	0
1907	周边有什么配套	您现在方便吗，方便的话我VR带您了解一下这个房子	0
4009	多少钱心里价位	这个业主在国外	0
1144	家电没有什么	我提前约一下房东	0
5679	您好，请问这个房子周边有哪些学校？	有兴趣吗	0
2383	您好，请问这个房子周边有哪些学校	西南的话 建议您可以看看这套。	0
5821	二套房首付多少	二套首付40%	1
5890	鹭江花园周围呢	这个小区属于河西户口	0
2470	挡光吗？这个。	这套房子挺好的，有时间你可以看看	0
4698	什么时候满二	晚	0
2270	这套房源价格还有优惠空间么？	您看您什么时候方便实地看看？	0
1781	这个学区是安三小把	我加您微信吧	0
2360	是有房产证的还是10月教房的	好的二手房	0
5048	税费预计多少	您看看这个呢，比刚才那个面积要大点	0
2661	这是在东区还是西区	觉得小区怎么样？买房是自住吗还是为了孩子上学呢	0
5492	房子有增值税?	你房子是同小区吗	0
1219	房子周末能看吗	您现在有时间吗？	0
3300	这房子可以看一下吗	可以的	1
871	你就说最低多钱，可以的话可以直接定	这我也说了不算呀，房子是业主的房子，您自己心里有价位可以，您可以先出价，来跟业主谈	1
684	随时可看吧	是的，房子目前空着有钥匙。	1
4174	这个114的是精装？	没有了哦，这个户型这套最便宜。还有一个差不多的户型，	0
3593	看房子吧	400万左右	0
5353	什么时候满	50多平米可以吧	0
3770	什么地方	小区到陈家坪轻轨站比较近，到石桥铺商圈也不远	0
1990	房价做低点的话增值税大概能低个多少	跟八楼一个户型	0
2433	家具家电一起卖吗？	有的	0
5693	低楼层影响采光吗	有个税	0
5900	户型	低楼层的您考虑吗？	0
262	你多找几套一起看看	刚才给您发的两套，您今天看不看	0
933	这个房子是哪里的	宝星花园	1
5609	采光是不是比较差	嗯嗯	0
88	什么时候能够看房呢？	您好，在	0
713	哪个位置呢	您好	0
2872	您好，请问周边配套怎么样	欧泊就在万博CBD旁边	1
1578	没有满五年，税贵吗	没有满五	0
1593	这个价钱包括家电的嘛	包括	0
1421	什么时候能够看房呢？	有钥匙的	1
357	2000万能下来？	您好，世纪公园这边有一套开发商请退出来的高区现房，2120万左右，您考虑吗？	0
780	最好能去看看房子呗	价格方面业主还是坚持235万，他说他这个户型是小区最好的户型😳	0
4980	价格是不是还能谈啊	您贵姓？	0
3295	可以直接读？	孩子也要跟你们一起落户是吧	0
2230	这个有房产证吗	有的	1
2216	带我看看	嗯嗯	0
212	意思业主贷款买的房子吗	高层	0
1753	什么时候能够看房呢？	这个房子有钥匙的	1
2061	这个房子带不带自行车库呢	这个我给你确认一下吧	0
904	能看下吗	可以的	1
2201	探下低价	这种情况他不会说的	0
2104	现在看房可以吗？	对面就是小区，我去车站接您	0
2087	税费大概多少	只有一个契税	1
2800	下午能看房吗	可以，您几点过来呀	1
877	带我看下吧	好的	1
4480	您好，我正在看鞍山的房子	嗯嗯，对口打一，1980年原建，满五年不唯一（推荐理由：边套，原建，业主急售）	0
3496	您好，请问这个户型有啥优缺点	200万以内就能买到的洋房小区	0
1249	光线怎么样	朝南采光挺好的	1
2270	这套房源价格还有优惠空间么？	房子如果看中，可以和业主沟通	1
3649	您好，请问这个户型有啥优缺点	你可有时间过来看呢	0
4996	150万能谈吗	150卖不了	1
5388	价格可以少不？	价格89万左右，价格可以商量，可以先看房	1
1779	这是精装房？	看新房吗	0
178	您好，请问这个房子周边有哪些学校？	您方便留个联系电话吗？	0
4964	随时看？	5分钟	0
2251	满几年了	满五业主就不这么低价卖了	0
4289	价格有商量吗	您这边想买套什么样的房子呢	0
2980	现在能看房吗？我在岳王庙这里	可以的，您等我10分钟左右	1
1640	契税多少钱啊	房子在5层，一共26层，南面楼间距50到80米，采光和视野都不错	0
5406	这套房源价格还有优惠空间么？	您想了解这套房子什么信息呢？	0
2609	这套房子下午可以看吗	可以看，有钥匙的	1
1811	有时间吧，去看看	好的	1
1200	采光怎么样	您这边大概都有什么要求客户	0
1278	靠山吗？	中间位置的卖的比较少 一般卖的中间位置的大多是多层不带电梯的	0
1473	您好，请问这个房子周边有哪些学校？	您这边想要去看看这个房子吗	0
2134	可以看不	现在嘛。	0
1547	这套房源价格还有优惠空间么？	您好，请问周末有时间过来看看吗？	0
232	我要家具家电啥用??	这个房子只有1%的契税，加上我们的费用40以内没问题	0
1498	之前问一直不说啥时候满?	其实您不用约很多中介，整个西安的房源都是共享的！您只需要找一两个人专业的带您看下就行了！?	0
5309	中学呢？	您现在有时间去看看实房吗？	0
909	这套房源价格还有优惠空间么？	有些谈价空间，主要看付款周期。	1
5137	可以看看	好的	0
2191	哪里的	晨光花苑的	1
4202	现在可以看房吗	您好	0
3771	靠路吗？	楼下是个小花园	0
3880	您好，请问这个户型有啥优缺点	您的预算是想控制在多少？	0
94	这房子能贷多少年	男性女性	0
2824	可以看吗	我带您看一下vr帮你讲解一下	1
2590	您好，我正在看广阳城的房子	这个小区不错，	0
2951	东区的？	这个不满二	0
4378	这个看过，最低多少	这个是稍微大点的两居室	0
293	这个房子是否有增值税	您是更倾向中间楼层，还是高楼层，5层及5层以上的房子，采光不影响的和话，是不是也可以	0
1045	方便看房吗	有可以看房的	1
2999	其他费用还有哪些？还有议价空间吗？	有的	1
3997	您好，请问这个户型有啥优缺点	距离附近的大型购物广场走路的话八九分钟就可以走到	1
2632	多个税？多少？	最低贷款29万左右	0
3637	您好，请问这个房子周边有哪些学校？	位于浑南中路跟长青南街交汇处	0
861	您好，我正在看碧海方舟的房子	您是准备卖吗	0
5942	价格还可以少？	但是，能谈下多少还要看缘分	1
3694	这个房子听说是满四的	业主买时便宜	0
4872	这个是48中本部吗	不是本部	1
1760	多这一平米，多交多少税？	差不多	0
2094	这个房子是怎么个情况？怎么看上去这么怪异	只不过要走拍卖流程	0
4529	想看一下这套房子	你好	0
1464	这个房子有增值税吗	可以等到满二过户	1
1450	这套房源价格还有优惠空间么？	您好	0
427	都有房产证嘛？	我可以先带你线上看看	0
3327	学校是哪所呢	搏旧改不	0
3648	税要付多少	这套房子不销售的，不用交增值税，	0
276	价格还有空间吗？	留了钥匙	0
4482	您好，请问这个户型有啥优缺点	花园洋房	1
605	这套房子中年能看吗	您好	0
4699	一期是北院吗	鸿坤理想湾北区南院	0
3780	不影响采光吧	不会影响采光的	1
5343	现在可以看房吗？	上面那个有钥匙的	0
3924	南区北区？	您有时间过来看看吗？	0
3048	中学呢	南大附中在鼓楼不算好	1
2478	会遮么	您怎么称呼	0
3538	什么时候能够看房呢？	您什么时间方便我约一下	1
1800	您好，我正在看招商公园四期璟园的房子	老证会贵一点	0
5037	多少钱心里价位	这个业主在国外	0
4859	家具带吗	不高的	0
976	我想更详细的了解这个房子	那您需要多大面积的	0
4485	我的意思全付的要付多少	有些房子便宜的话，还不需要40万	0
2829	那不现在不能办理按揭贷款？	实验中学马运路校区	0
4730	有证吗	您这边都是白天一般啥时候有时间来看？你在附近住吗？	0
3547	啥时候可看房？	您明天要来看看也可安排	1
1052	还有空间？	也不一定	0
368	有高税吗	第一套还是边户	0
2725	不知道什么户型	就这5个	0
2943	1750这套临街吗？	临街	1
1909	这个小区，怎么样了	你是指哪一方面呢	0
3368	那个区，下证了吗	没满两年，我这也有房产证的照片	0
3505	几楼啊，最低多少钱	是的	0
3740	这套房源价格还有优惠空间吗？	你好	0
5468	那113中学呢	我的不是这样的	0
5748	房子在几期	稍等。我这边帮你看一下几号楼的	0
1461	2号楼就十字路口那个四楼毛胚吧？	嗯嗯	0
2812	有房本吗	增值税高	0
3365	晚上看房方便吗？	晚上7点半可以吗	0
4876	是哪栋啊，临街吗	嗯嗯～	0
4276	你看看在这附近有的话一起看看	嗯嗯	0
3291	现在可以看吗	哥，你看你啥时候有时间要不我带你看一下房子	0
3657	什么时候可以看房呢？	可以的	0
1628	他低价多少啊	价格能谈	1
506	是临街的吗？	你好	0
1161	这个可以看吗	可以约	1
